name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lagos,2014-01-17,31.7,25.4,27.5,37.3,25.4,31.1,25,86.8,13,100,4.17,rain,,,18.4,18.4,224.9,1011.9,81.9,6,138.4,12,5,,2014-01-17T07:02:45,2014-01-17T18:50:20,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,remote,65201099999"
Lagos,2014-01-18,32.2,24.6,27.6,39.3,24.6,31.5,25.1,86.6,1,100,41.67,rain,,,31.7,25.9,239.3,1011.6,75.4,6.6,165.1,14.3,6,,2014-01-18T07:02:59,2014-01-18T18:50:45,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,remote,65201099999"
Lagos,2014-01-19,35.4,24.4,28,44,24.4,31.9,24.8,83.5,1.1,100,45.83,rain,,,29.5,25.9,254.3,1011.6,80.9,7.9,118.9,10.2,4,,2014-01-19T07:03:11,2014-01-19T18:51:10,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,remote,65201099999"
Lagos,2014-01-20,32.6,25.6,27.6,39.6,25.6,30.7,24.3,83.2,0.6,100,25,rain,,,33.5,25.9,245.1,1011.8,65.1,9,138.3,11.8,5,,2014-01-20T07:03:23,2014-01-20T18:51:35,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-01-21,32.8,24,27.2,40.6,24,30.2,24.4,85.5,0.6,100,8.33,rain,,,33.5,29.5,250.9,1011.4,59.2,7.7,202.5,17.6,8,,2014-01-21T07:03:34,2014-01-21T18:51:58,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-01-22,30.5,25,26.9,37.2,25,29.3,24.6,87.9,0.4,100,4.17,rain,,,29.5,25.9,255.8,1010.7,50.3,8.7,118,10.3,4,,2014-01-22T07:03:44,2014-01-22T18:52:22,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,65201099999"
Lagos,2014-01-23,32.1,24,27.2,39.8,24,30.1,24.7,86.5,0,0,0,,,,33.5,29.5,260.4,1010.1,47.9,8.7,143.3,12.4,5,,2014-01-23T07:03:53,2014-01-23T18:52:44,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,2014-01-24,31.3,24,27.1,37.7,24,29.5,24.5,86.5,1,100,8.33,rain,,,31.7,27.7,256.8,1009.9,50.1,8.4,69.3,6,2,,2014-01-24T07:04:01,2014-01-24T18:53:06,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-01-25,33.2,21,26.6,39.3,21,28.9,23.4,83.4,46,100,8.33,rain,,,44.6,40.7,230.6,1010.1,51.9,8.1,111.7,9.4,4,,2014-01-25T07:04:08,2014-01-25T18:53:27,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"DNMM,remote,65201099999"
Lagos,2014-01-26,32,23,26.9,39.2,23,29.4,23.9,84.5,0,0,0,,,,22.3,24.1,258.3,1010.8,52.3,8.7,76.8,6.6,3,,2014-01-26T07:04:14,2014-01-26T18:53:48,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
Lagos,2014-01-27,34,23,27.7,43.5,23,31.4,24.2,82.3,0,0,0,,,,31.7,27.7,257.9,1010,43.1,8.2,125.3,10.9,5,,2014-01-27T07:04:19,2014-01-27T18:54:08,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,2014-01-28,33,24,28.1,42.1,24,32.7,25.3,85.6,0,0,0,,,,31.7,27.7,256.2,1008.8,54.5,8.6,210.8,18.2,8,,2014-01-28T07:04:23,2014-01-28T18:54:27,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2014-01-29,34,25,28.4,42,25,32.6,25,82.8,0,0,0,,,,35.3,31.5,251.5,1009.3,65.7,9,183.7,15.9,7,,2014-01-29T07:04:26,2014-01-29T18:54:46,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2014-01-30,31,24,27.2,39.1,24,30.6,24.3,84.5,0,0,0,,,,25.9,24.1,249.5,1009.8,66.4,8.8,89.8,7.7,3,,2014-01-30T07:04:28,2014-01-30T18:55:04,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2014-01-31,30.9,27,28.3,37.7,30.6,33.2,25.2,83.6,0,0,0,,,,27.7,24.1,256,1010.4,62.2,9.8,149.4,12.7,6,,2014-01-31T07:04:30,2014-01-31T18:55:21,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
Lagos,2014-02-01,31.7,25,27.2,35.8,25,29.3,23.9,83.3,0,0,0,,,,22.3,18.4,258.4,1010.7,39.9,6.1,102.3,8.7,4,,2014-02-01T07:04:30,2014-02-01T18:55:38,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2014-02-02,33.1,24.7,27.6,37.6,24.7,28.1,20.7,70.2,0,0,0,,,,24.1,20.5,27.5,1009.8,21.7,5.1,157.2,13.5,6,,2014-02-02T07:04:29,2014-02-02T18:55:53,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,2014-02-03,33,21.8,27.2,37,21.8,28.6,20.2,66.2,0,0,0,,,,25.9,14.8,188.8,1009.6,18.7,5.4,166.7,14.5,6,,2014-02-03T07:04:28,2014-02-03T18:56:09,0.12,Clear,Clear conditions throughout the day.,clear-day,"65210099999,DNMM,65201099999"
Lagos,2014-02-04,30,24.5,27.3,36.2,24.5,30.2,23.9,81.7,0,0,0,,,,18,16.9,207.7,1009.6,52.3,7.6,205.4,17.7,7,,2014-02-04T07:04:25,2014-02-04T18:56:23,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2014-02-05,32.8,24,28.1,40.1,24,31.6,24.7,83.1,0,0,0,,,,27.7,24.1,235.9,1009.8,58.6,7.8,150.7,13,5,,2014-02-05T07:04:22,2014-02-05T18:56:37,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2014-02-06,34,25,28.1,42,25,31.7,24.8,83.5,0,0,0,,,,16.6,24.1,220.6,1010,38.8,7,149.2,12.9,6,,2014-02-06T07:04:18,2014-02-06T18:56:50,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2014-02-07,33,25.1,28.3,40.6,25.1,32,25,83.1,0,0,0,,,,33.5,27.7,203.3,1011.2,50.3,8.7,165.4,14.4,6,,2014-02-07T07:04:12,2014-02-07T18:57:02,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2014-02-08,32.9,25.1,28.1,40.9,25.1,32.7,25.2,84.4,0,0,0,,,,24.1,20.5,207.2,1010.1,65.5,7.8,173.9,15.1,6,,2014-02-08T07:04:06,2014-02-08T18:57:14,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2014-02-09,31,26,27.5,39.1,26,31,25.2,87.8,0,0,0,,,,29.5,25.9,226.5,1010.8,52.2,8,79.3,6.7,3,,2014-02-09T07:03:59,2014-02-09T18:57:25,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2014-02-10,32,25,27.6,38.5,25,30.8,24.7,85.1,0.6,100,20.83,rain,,,35.3,31.1,205.1,1011,67.6,6,111.6,9.4,4,,2014-02-10T07:03:51,2014-02-10T18:57:35,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-02-11,32,25,27.3,40.6,25,30,24.8,87,18,100,4.17,rain,,,13,64.8,205.8,1010.9,45.6,7.3,123.7,10.9,4,,2014-02-11T07:03:43,2014-02-11T18:57:44,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,65201099999"
Lagos,2014-02-12,30,25.1,27.1,36.2,25.1,29.2,24.4,85.6,18,100,4.17,rain,,,25.9,13,197.2,1010,52.8,6.7,156.5,13.5,6,,2014-02-12T07:03:33,2014-02-12T18:57:53,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-02-13,28.1,27.5,27.8,32.6,31.7,32.2,25,84.4,2.6,100,100,rain,,,,15.5,210.5,,75,,129.2,11.1,5,,2014-02-13T07:03:22,2014-02-13T18:58:01,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lagos,2014-02-14,28.3,27.3,27.7,32.3,31.3,31.9,24.9,85.1,4.8,100,100,rain,,,,18.4,217.7,,65.1,,207,17.7,7,,2014-02-14T07:03:11,2014-02-14T18:58:09,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lagos,2014-02-15,27.8,27.4,27.6,32,31,31.6,24.8,85,1.6,100,58.33,rain,,,,16.6,221.9,,76.6,,109.2,9.4,4,,2014-02-15T07:02:59,2014-02-15T18:58:16,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lagos,2014-02-16,27.9,27.2,27.6,32.5,30.9,31.6,24.8,84.5,1.1,100,45.83,rain,,,,20.5,225.9,,72.1,,108.1,9.3,4,,2014-02-16T07:02:46,2014-02-16T18:58:22,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lagos,2014-02-17,28.2,24,27.7,32,24,31.1,23.9,80.1,0.4,100,16.67,rain,,,,14.4,204.7,1011,63.9,3,200.4,17.3,8,,2014-02-17T07:02:32,2014-02-17T18:58:27,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DNMM,remote,65201099999"
Lagos,2014-02-18,28.3,27.6,27.9,32.6,31.4,32,24.6,82,0,0,0,,,,,16.9,215.1,,74.1,,218.3,18.8,8,,2014-02-18T07:02:18,2014-02-18T18:58:32,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lagos,2014-02-19,34.2,27.4,28.1,39.7,31.3,32.4,24.8,82.9,0,0,0,,,,31.7,25.1,216.3,1008.7,64.4,14.2,204.7,17.8,7,,2014-02-19T07:02:02,2014-02-19T18:58:36,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,remote,65201099999"
Lagos,2014-02-20,32.9,27.3,27.9,39.5,31.1,32.2,25,84.4,0.9,100,37.5,rain,,,14.8,19.8,218.5,1010.7,77.3,10,202.1,17.5,7,,2014-02-20T07:01:46,2014-02-20T18:58:40,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,65201099999"
Lagos,2014-02-21,31,26.1,28,39.1,26.1,32.6,25.3,85.7,0.5,100,20.83,rain,,,9.4,19.8,220.6,1010.6,89.7,8.7,203.1,17.6,7,,2014-02-21T07:01:29,2014-02-21T18:58:43,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-02-22,35.4,27.6,28.3,42.2,32,33.3,25.5,85.5,1.9,100,70.83,rain,,,,21.6,227.9,,86.1,20,203,17.4,7,,2014-02-22T07:01:12,2014-02-22T18:58:46,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,remote"
Lagos,2014-02-23,29.6,26.6,28.1,37.3,26.6,33.4,25.9,88.2,2.5,100,83.33,rain,,,25.9,22,224.7,1008.8,83.8,6.9,153.2,13.2,6,,2014-02-23T07:00:54,2014-02-23T18:58:48,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-02-24,32,27.6,28.1,42.3,31.2,32.8,25.1,83.7,3.7,100,95.83,rain,,,,28.4,231,1008,73.5,8,198.5,17,8,,2014-02-24T07:00:35,2014-02-24T18:58:49,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,65201099999"
Lagos,2014-02-25,28.3,27.2,27.8,32.4,30.5,31.5,24.2,80.8,3.5,100,100,rain,,,,27,207.8,,69.1,,202.2,17.6,7,,2014-02-25T07:00:16,2014-02-25T18:58:50,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lagos,2014-02-26,27.8,26.9,27.5,32.3,30.2,31.5,25,86.4,1.9,100,75,rain,,,,19.1,213.3,,63.3,,162.8,14,6,,2014-02-26T06:59:55,2014-02-26T18:58:50,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lagos,2014-02-27,28.2,27.7,28,33.3,31.7,32.5,24.9,83.3,2.4,100,79.17,rain,,,,20.9,223.3,,69.4,,197.8,16.9,7,,2014-02-27T06:59:35,2014-02-27T18:58:50,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lagos,2014-02-28,28.1,27.7,27.9,33.2,32,32.6,25.3,85.7,3.8,100,100,rain,,,,23.4,227.4,,83,,98,8.4,3,,2014-02-28T06:59:14,2014-02-28T18:58:49,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lagos,2014-03-01,28,27.2,27.6,32.6,30.9,31.9,25.1,86.1,2.5,100,70.83,rain,,,,19.4,234.4,,75.1,,106.4,9.2,4,,2014-03-01T06:58:52,2014-03-01T18:58:48,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lagos,2014-03-02,31,27.9,28.2,39.1,31.8,32.5,24.4,79.8,1.2,100,50,rain,,,,20.5,206.7,1012,74.5,6,125.8,11,5,,2014-03-02T06:58:29,2014-03-02T18:58:46,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,65201099999"
Lagos,2014-03-03,32,26.7,27.9,39.2,26.7,31.8,24.6,82.5,1,100,41.67,rain,,,,18.4,198.8,1008,77.8,9.3,156,13.6,6,,2014-03-03T06:58:06,2014-03-03T18:58:44,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-04,33,27.4,28.8,42.1,31.1,33.7,24.8,79.7,1.3,100,54.17,rain,,,27.7,24.1,199.6,1008.1,49.4,6.2,202.5,17.7,7,,2014-03-04T06:57:43,2014-03-04T18:58:41,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-05,29,26,28,35.6,26,32.4,25,84.1,2.7,100,91.67,rain,,,,27.7,210.4,1011,84.3,9,171.4,14.9,7,,2014-03-05T06:57:19,2014-03-05T18:58:38,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-06,31.2,24,27.2,38.2,24,30.6,24.7,86.1,5,100,4.17,rain,,,55.4,16.2,202.9,1011.5,89.8,15,69.6,6,2,,2014-03-06T06:56:55,2014-03-06T18:58:35,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-07,32.9,24,28.1,40.2,24,32.8,25.1,84.1,0,0,0,,,,22.3,18,210.7,1008.7,75.6,9.2,120.6,10.3,4,,2014-03-07T06:56:30,2014-03-07T18:58:31,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
Lagos,2014-03-08,28.4,25.6,27.9,34.2,25.6,32.8,25.5,86.9,0,0,0,,,,16.6,27.7,234.3,1009.9,74.5,10,106.7,9.5,4,,2014-03-08T06:56:05,2014-03-08T18:58:27,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,remote,65201099999"
Lagos,2014-03-09,34.4,26.8,28.5,42.7,30.8,33.9,25.6,84.3,0,0,0,,,,16.6,28.4,234.3,1009.4,70.3,14,137.5,12,5,,2014-03-09T06:55:39,2014-03-09T18:58:23,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-10,33.4,27,28.2,41.3,30.6,33.5,25.6,85.8,0,0,0,,,,,31.3,226,1010.4,66.5,11.7,125.6,10.8,4,,2014-03-10T06:55:13,2014-03-10T18:58:18,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-11,30,26.2,28.2,37.4,26.2,33.2,25.3,84.1,10,100,4.17,rain,,,22.3,24.1,210.6,1010.6,72.1,9.2,157.8,13.7,5,,2014-03-11T06:54:47,2014-03-11T18:58:13,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-12,32,26,28.6,38.8,26,33.5,25,81.4,261,100,4.17,rain,,,18.4,16.6,208.8,1012,47.2,10.7,183.2,15.8,6,,2014-03-12T06:54:20,2014-03-12T18:58:07,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-13,34,25,28.7,43.2,25,33,25.1,82.2,0,0,0,,,,22.3,18.4,228.7,1011.3,50,9.3,149.7,12.9,6,,2014-03-13T06:53:53,2014-03-13T18:58:02,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-14,32.5,25.9,29,42.3,25.9,34.1,25.4,81.7,0,0,0,,,,31.7,27.7,202.5,1010.6,57.5,10,125,10.9,5,,2014-03-14T06:53:26,2014-03-14T18:57:56,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
Lagos,2014-03-15,33,26,29.1,41.8,26,35,25.8,82.7,0,0,0,,,,14.8,25.9,216.9,1010.1,53.4,9.8,118.7,10.2,4,,2014-03-15T06:52:59,2014-03-15T18:57:50,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-16,32.6,28,28.5,41.2,33.4,34.2,25.7,84.8,1.9,100,79.17,rain,,,31.7,27.7,223.5,1008.8,68.1,10.1,123.1,10.7,4,,2014-03-16T06:52:31,2014-03-16T18:57:43,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-17,29.7,27.7,28.1,36.4,32.3,33.4,25.6,86.3,2.5,100,62.5,rain,,,37.1,22.3,221.9,1009.1,65.5,11.7,152,13.1,6,,2014-03-17T06:52:03,2014-03-17T18:57:37,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-18,33.2,26.1,28.5,39.5,26.1,33.5,25.3,83.4,2.1,100,70.83,rain,,,,22.3,229,1012,79,13.8,111,9.6,4,,2014-03-18T06:51:35,2014-03-18T18:57:30,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-19,33.4,27,28.7,41.2,31.2,34.4,25.6,83.4,1.1,100,45.83,rain,,,31.7,23.2,220.6,1009.9,64.7,12.1,139.7,12,5,,2014-03-19T06:51:07,2014-03-19T18:57:23,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-20,32.2,27,28.5,40.5,30.6,33.9,25.5,84,1.1,100,41.67,rain,,,29.5,25.6,208.8,1010.9,63.8,9.8,191.3,16.8,7,,2014-03-20T06:50:38,2014-03-20T18:57:16,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-21,33,25.9,28.6,40.6,25.9,33.8,25.4,83.1,2.9,100,95.83,rain,,,,21.6,233.1,1010,72.8,10,178.6,15.5,7,,2014-03-21T06:50:10,2014-03-21T18:57:09,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2014-03-22,28.9,28.3,28.6,34.9,33.5,34.2,25.6,83.8,5,100,100,rain,,,,22,230.7,,59.8,,167.2,14.6,6,,2014-03-22T06:49:41,2014-03-22T18:57:02,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lagos,2014-03-23,32.9,28.2,28.8,40.6,33.2,34.5,25.6,83.3,6.7,100,91.67,rain,,,33.5,29.4,228,1009.8,83.1,12.7,99.9,8.6,4,,2014-03-23T06:49:12,2014-03-23T18:56:55,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
